Date,Unnamed: 0,DE_trans,DE_POI_macro_422_per,DE_POI_micro_422_per,DE_POI_redline_422_per,DE_POI_blur_422_per,DE_POI_spoof_422_per,DE_POA_macro_422_per,DE_POA_blur_422_per,DE_POA_spoof_422_per
2020-12-01,0,525689,4.057113532767833,11.901579870306287,9.48882674665269,6.815094526025188,3.2099605649881857,1.115368400168638,9.894477097438187,7.827418594846613
2020-12-02,0,571619,4.234289572408332,12.074400848786974,9.418641839309194,7.073055582348074,3.190312051049053,1.0774297053111543,9.529679979734864,7.974893748768611
2020-12-03,1,542120,3.8629663242346295,12.239752546759965,9.706686285355255,7.095753878539552,3.324884409049657,1.125608476833681,10.146977358179225,7.676531947243732
2020-12-04,1,506329,3.9836736585662598,12.160748995536034,9.392570877352561,7.354964673574559,3.4289372525050044,1.002979145978153,10.154543197616682,7.509309831181728
2020-12-05,2,626426,3.9458224695854067,12.36431042311275,9.597857988775038,6.85387420365022,3.5074497615046507,1.045871743889458,9.56247112932056,8.538691731437408
2020-12-06,3,317613,3.3580442006925235,12.896748855476284,10.089935163022007,7.9189421579791315,3.5104924356859017,1.0970348825860352,11.019149309961154,7.9300786663803695
2020-12-07,4,503503,3.7034218529109606,12.576941201263256,9.943891095455383,7.143714309965843,3.3914130253441317,0.9632613719214562,9.731473128776738,7.563980574126023
2020-12-08,0,346125,2.718076727841709,13.182724461120618,11.805370216284388,8.329016018546138,5.605706181871464,0.7772488615400492,9.714643239547453,8.068552704568031
2020-12-09,1,283547,2.4732637546707896,12.119572220074732,11.510114675943825,7.320577245200361,5.510243525318903,0.7496473851956329,8.71523529732636,8.240666422498773
2020-12-10,2,398520,2.5036945701152344,12.885663254666946,11.649002239408144,8.610388315185363,5.932618294241912,0.7609905241504895,9.181907084967907,7.935321425761272
2020-12-11,3,377919,2.6450324417815745,12.935145104109928,11.947080239658284,8.254737264570135,5.839520683427456,0.7330047858807622,9.203479993595103,7.876243172558577
2020-12-12,4,484566,2.5442533123095914,11.938227298996141,10.484521150978534,7.9095883960359314,5.527294001812227,0.7921742195762015,8.62187145039364,7.615741647409033
2020-12-13,2,269889,2.628058487511873,13.199154526360852,11.833286511217242,8.636673756872817,5.607951733087183,0.72017742779536,9.505179130637027,8.076453437663535
2020-12-14,0,432104,2.4664769053796487,12.459171935481162,11.752605019437935,8.284003795225741,5.436325012384863,0.7694291166004847,8.898973750709091,7.693259759682327
2020-12-15,1,426809,2.541684907577026,12.530336581986338,11.416330538046644,7.858396698359805,5.768944690726251,0.7340809890775432,8.829856107595598,7.6645155900841635
2020-12-16,2,458261,2.528085449288186,12.685063755154927,11.571126104062314,7.914487509677827,5.985637314541233,0.7591233758318909,8.682869749640428,7.963238341337363
2020-12-17,3,401499,2.5331998242029097,12.608004204631438,11.334834555908456,7.9262739625479695,5.915934556361544,0.74063830964102,8.902041042093035,8.578461198075113
2020-12-18,4,441099,2.576208009829833,12.371818395477614,11.278744222292776,8.14424785693964,5.814198006819861,0.6858973067703402,8.827528553874664,8.411054932216022
2020-12-19,5,381007,2.3426026242927653,12.274467316720841,11.456843625857713,6.92428072709763,5.9501625135427965,0.7176978284448342,7.932176401356933,9.510650081923707
2020-12-20,0,289178,2.5728000400533206,13.75205742644896,11.711841388848903,8.684686488888332,5.850288196161141,0.8632748800148388,9.61117852091722,8.740947979380328
2020-12-22,1,473689,2.7263815473330135,12.618164344065352,11.742431523306102,8.072272945699183,5.808361364728496,0.7669831994156319,9.135434811110489,9.072221910059747
2020-12-23,2,501551,2.538731508916174,12.650652905182056,11.341198080097964,7.976631716286002,5.942293605064343,0.7650927531893539,9.026597758427906,9.20092268953434
2020-12-24,3,442602,2.5215419501133787,12.267985982271695,10.991135848278706,7.9814471243042675,6.101422387136672,0.7832963429508328,8.889188810909161,8.876692060064382
2020-12-25,6,430497,2.5286515276560624,12.268894693405256,10.65785779313044,8.044549190440131,5.929398551896063,0.6969211639913832,8.916190368979333,8.980151562444034
2020-12-26,4,573774,2.4476606386949213,12.263503922062759,10.839503258549907,7.838702577173244,5.880382668278662,0.7349466558582509,8.490112988923935,9.056786442865867
2020-12-27,0,238387,2.5911223928714007,14.034995216968836,12.27544233622826,9.043318444422683,5.836051249990585,0.7365610739779979,9.969136386874442,8.154242326699865
2020-12-28,7,397797,2.45898270720982,12.373454859287742,11.165197061093275,7.707552296192117,5.92530354851525,0.7399163329679426,8.781682736404107,7.797923983803495
2020-12-29,2,383198,2.611255889737445,12.296866588216238,11.132020638497565,7.930004430702385,5.863296156722996,0.7218737557631608,8.931384485773146,8.562657603332967
2020-12-30,3,519439,2.5776823732272933,12.293697434634195,10.285744448745467,7.712636801914347,5.85177886476405,0.7336283148226073,8.528960466529803,8.452877344656542
2020-12-31,1,398803,2.4846222644057896,12.152061620457408,10.746618723419788,7.8640918466059455,6.035647142570316,0.6885419275834238,8.677186830313657,8.112771701316413
2021-01-01,8,275594,2.3912072904903217,13.414265829765997,12.16745016676734,8.08755941907188,5.320797331722562,0.7616436578362507,9.142157260353974,7.8946514608309135
2021-01-02,5,527539,2.4112231477422186,11.903882466248055,10.61386945220186,7.497057168599214,5.827669173970528,0.6882431091603182,8.418680524023344,7.386105645527471
2021-01-03,9,263095,2.4892909770055858,13.69863952571879,12.175730783729133,8.815325040265927,5.998423631815222,0.7201979691099923,10.237221605939073,7.942657223312569
2021-01-04,5,445695,2.4211226726647044,12.347276594181304,10.934036551563668,7.89038613048998,5.749298890880071,0.7099229795841097,9.107938184390662,7.7045325468549155
2021-01-05,6,489155,2.5513492569120766,12.010491529654589,10.674088231678011,8.106345959680635,5.930173207107117,0.7261673944950804,9.196006305832896,8.034500878830158
2021-01-06,7,538379,2.354095644260937,12.136512420715224,10.516182922025887,7.51592486451981,5.839230173713447,0.6913491149009108,8.509416863833748,8.051797876746312
2021-01-07,8,473242,2.4247446521487763,12.474465214877625,11.085758334939294,8.079398728078628,5.775293890923106,0.7062939679688669,8.90819113905104,8.497511600059871
2021-01-08,9,407831,2.393710922311656,12.1955906736446,11.23828507327276,7.758555192556077,6.072320818044897,0.7638066471821727,8.954356305479198,8.25356642292941
2021-01-09,10,740938,2.469306965010312,11.804346911138124,9.869057905174056,7.270517108628215,5.850182833686953,0.7207308786744961,8.05651906865785,8.124467759977922
2021-01-10,11,268448,2.4384668652220967,13.4045085080778,11.727096093209,8.560517947304374,5.9331320886641885,0.8002873683243252,9.217506077338836,8.406358859548732
2021-01-11,12,442908,2.5307932337001158,12.160042699950733,10.897109541796684,7.826408277221218,6.028494005583839,0.761482432730702,8.724943315207577,7.8671468988903825
2021-01-12,13,477560,2.37929531253585,11.963396633346846,10.69765129671977,7.428127844103002,5.973094307587589,0.6771455284327066,8.151665787256889,8.302553991131846
2021-01-13,14,549562,2.3253242554104,12.28535146237431,10.48875367310766,7.554623341028571,5.975480226367301,0.7363336240437419,8.536930177731582,9.48392928967102
2021-01-14,15,344567,2.6475802397269335,12.291694229090044,10.936416796761305,7.8183790649062015,6.072023919773502,0.7082171180319019,9.125846711481858,8.803228750273131
2021-01-15,16,380018,2.5931308804406026,12.19546010862082,10.678975751548997,7.9166029220530865,6.131913103342768,0.7211003804506877,8.611062335381916,8.067895815042435
2021-01-16,17,596956,2.348223456402876,11.450818310976622,9.825574601300195,7.2537840347866736,5.920376896630195,0.6288313083665104,7.732159809253278,8.344433242326344
2021-01-17,18,253493,2.4519285470474457,13.547474115371488,11.670127432017296,8.329303675048356,6.087154397542382,0.7141021892636596,9.425085718842196,7.964099974306498
2021-01-18,19,399624,2.5585791932522586,12.080311210485174,10.907818436312738,7.642562396611588,5.799749141080874,0.6576456175520661,8.591157144448157,7.422875598619
2021-01-19,20,404412,2.517170716328507,11.86884950570856,10.47447474497264,7.718152543517914,6.150381696579367,0.7254204203380908,8.585512427553914,8.001557213903071
2021-01-20,21,503478,2.2756046213836663,12.135834533050707,11.069472678999038,7.621159397223407,5.68883069154362,0.7171047994925647,8.030868983015013,8.142310945098316
2021-01-21,6,460278,2.2812796782922797,12.05490012199144,10.732465220518405,7.737515745637912,5.905259937136657,0.7314699862429956,8.639590453501805,7.968996409757406
2021-01-22,22,361513,2.454743195708237,12.120799204630904,11.088232473870411,7.691259519447683,6.131306555234247,0.7786197862468323,9.321401025917265,8.165101673542843
2021-01-23,23,627022,2.614571006568728,11.747070206399592,9.575308395462674,7.395618303171606,5.9937807037377455,0.6824473154163277,8.199491044406201,9.085101703849283
2021-01-24,24,244378,2.5117171642617264,13.452411706092924,11.544451415285824,8.763331734140309,6.229471897257999,0.8007860927699668,9.61677977464116,8.249382421275932
2021-01-25,5,389868,2.328942093437381,12.219021247634233,11.09230927008456,7.541092122805545,6.1966827958492985,0.6375819788993442,8.37639007698888,7.8140861134873125
2021-01-26,6,275005,2.2694477239931787,13.361537452446544,11.820805457169097,8.619309982946348,5.905155450609996,0.7001509649516504,9.410420661797707,8.214125423313885
