Date,Unnamed: 0,DE_trans,DE_ORN,DE_avg_trans_orn,DE_POI_trans,DE_POI_ORN,DE_POI_avg_trans_orn,DE_POA_trans,DE_POA_ORN,DE_POA_avg_trans_orn,DE_200,DE_200_per,DE_422,DE_422_per,DE_other_response,DE_POI_200,DE_POI_200_per,DE_POI_422,DE_POI_422_per,DE_POI_other_response,DE_POA_200,DE_POA_200_per,DE_POA_422,DE_POA_422_per,DE_POA_other_response,DE_POI_stopped,DE_POA_stopped
2020-12-01,0,525689,165144,3.183215860097853,364397,164846,2.210529827839317,161292,130376,1.2371295330428913,259403,49.345335359880075,266284,50.65428418703834,2,129552,35.552433197858385,234843,64.44701795020265,2,129851,80.50678272945963,31441,19.493217270540388,0,34470,298
2020-12-02,0,571619,181564,3.1483058315525105,393974,181219,2.174021487813088,177645,143523,1.2377458665161682,286029,50.03839970329889,285585,49.960725588197725,5,142976,36.290719692162426,250994,63.70826501241199,4,143053,80.52745644403164,34591,19.471980635537168,1,37696,345
2020-12-03,1,542120,172499,3.142742856480328,372434,172173,2.1631382388643985,169686,136799,1.2404038041213752,272514,50.268206301187924,269598,49.73031801077252,8,136350,36.610513540654175,236081,63.38868094749674,3,136164,80.24468724585411,33517,19.75236613509659,5,35374,326
2020-12-04,1,506329,162972,3.1068465748717573,345209,161716,2.1346620000494694,161120,129542,1.2437665004400118,257992,50.953431464522076,248333,49.04577853530017,4,128215,37.141268043417185,216991,62.857862917826594,3,129777,80.54679741807348,31342,19.452581926514398,1,32174,1256
2020-12-05,2,626426,200691,3.1213457504322566,427262,200287,2.1332487879892352,199164,160114,1.2438887292803875,318862,50.90178249306384,307560,49.0975789638361,4,159425,37.313170841310495,267834,62.68612701340162,3,159437,80.0531220501697,39726,19.94637585105742,1,40173,404
2020-12-06,3,317613,104412,3.0419204689116195,215155,104213,2.0645696794066,102458,82033,1.2489851645069667,162736,51.23719746987686,154798,48.73792949281043,79,81348,37.809021403174455,133791,62.183542097557584,16,81388,79.43547599992192,21007,20.50303539011107,63,22180,199
2020-12-07,4,503503,165658,3.0394125245988723,341657,165359,2.0661530367261536,161846,131401,1.2316953447842862,262046,52.04457570262739,241452,47.95443125463006,5,131201,38.40137916097138,210454,61.59803545661292,2,130845,80.84537152601857,30998,19.152774860052148,3,33958,299
2020-12-08,0,346125,134126,2.580595857626411,191091,133963,1.4264461082537716,155034,124349,1.2467651529163886,252106,72.8366919465511,94015,27.162152401589022,4,127980,66.97332684427839,63111,33.026673155721625,0,124126,80.06372795644828,30904,19.93369196434331,4,9614,163
2020-12-09,1,283547,111553,2.5418142049070847,155220,111419,1.3931196654071567,128327,103958,1.23441197406645,210514,74.243070813657,73032,25.75657651112514,1,106740,68.76691148047932,48480,31.233088519520678,0,103774,80.86684797431562,24552,19.13237276644821,1,7461,134
2020-12-10,2,398520,156440,2.547430324725134,220594,155077,1.4224804451981918,177926,144014,1.2354771063924341,291117,73.04953327311051,107399,26.949463013148648,4,147517,66.87262572871428,73074,33.126014306826114,3,143600,80.70770994683183,34325,19.29172802176185,1,11063,1363
2020-12-11,3,377919,147143,2.568379059826156,209298,146746,1.4262603409973695,168621,136387,1.2363421733742952,276265,73.10164347386609,101648,26.89676888433765,6,139939,66.86112624105343,69358,33.138395971294514,1,136326,80.84758126212037,32290,19.14945350816328,5,10359,397
2020-12-12,4,484566,190361,2.5455108977153933,280318,189835,1.4766402402086023,204248,159250,1.2825620094191523,360989,74.49738528910406,123558,25.498693676403214,19,194053,69.22602187515608,86256,30.77076748549861,9,166936,81.73201206376562,37302,18.263091927460735,10,30585,526
2020-12-13,2,269889,105694,2.553494048858024,149502,105566,1.4161946081124603,120387,97771,1.2313160344069305,197616,73.22121316541245,72272,26.778416311891185,1,100175,67.00579256464796,49326,32.99353854797929,1,97441,80.9398024703664,22946,19.0601975296336,0,7795,128
2020-12-14,0,432104,169625,2.5474075165806926,238194,169447,1.4057138810365484,193910,158008,1.2272163434762795,319556,73.9534926776887,112543,26.045350193471947,5,161785,67.9215261509526,76405,32.076794545622484,4,157771,81.36300345521119,36138,18.63648084162756,1,11439,178
2020-12-15,1,426809,167894,2.5421337272326587,235277,167179,1.4073358495983348,191532,156058,1.2273129221186994,315539,73.92979060891406,111263,26.06856931320567,7,159719,67.88551367111957,75554,32.11278620519643,4,155820,81.35455171981705,35709,18.643881962283064,3,11121,715
2020-12-16,2,458261,178733,2.563941745508664,253156,178514,1.4181296705020334,205105,166619,1.2309820608694086,337168,73.5755388304918,121089,26.423588304481513,4,170740,67.44457962679138,82415,32.55502535985716,1,166428,81.14282928256259,38674,18.85570805197338,3,11895,219
2020-12-17,3,401499,157400,2.5508195679796697,220709,156483,1.4104343602819476,180790,146007,1.2382283041224051,294866,73.44127880766827,106625,26.556728659349087,8,149336,67.66194400772058,71369,32.336243651142446,4,145530,80.49670888876597,35256,19.50107859948006,4,10476,917
2020-12-18,4,441099,171489,2.5721708097895486,242527,171286,1.4159184054738858,198572,160088,1.2403927839688171,323587,73.35926855422478,117510,26.640278032822565,2,163719,67.50547361737043,78806,32.493701732178266,2,159868,80.50883306810628,38704,19.491166931893726,0,11198,203
2020-12-19,5,381007,148313,2.568938663502188,207675,148142,1.401864427373736,173332,138820,1.2486097104163665,280301,73.5684646213849,100703,26.43074799150672,3,141962,68.35777055495366,65711,31.641266401829785,2,138339,79.81157547365748,34992,20.187847598827684,1,9322,171
2020-12-20,0,289178,111511,2.593268825497036,159787,111362,1.4348431242254989,129391,103366,1.2517752452450517,208924,72.24754303577727,80254,27.75245696422273,0,105864,66.25319957193011,53923,33.746800428069875,0,103060,79.65005294031269,26331,20.349947059687306,0,7996,149
2020-12-22,1,473689,182617,2.593893230093584,260125,182430,1.4258893822288,213564,170253,1.2543919930926328,344320,72.68904281078936,129367,27.310534971257514,2,174354,67.02700624699663,85769,32.9722248918789,2,169966,79.58551066659173,43598,20.414489333408245,0,12177,187
2020-12-23,2,501551,193442,2.592771993672522,274389,193189,1.4203137859816035,227162,180634,1.2575816291506583,364855,72.74534394308856,136686,27.25266224172617,10,184765,67.33688303831421,89620,32.661659177299384,4,180090,79.27822435090377,47066,20.719134362261293,6,12555,253
2020-12-24,3,442602,171838,2.5756933856306516,242550,171441,1.4147724289988977,200052,160364,1.2474869671497344,324269,73.26424191485805,118330,26.735080275281177,3,164221,67.70603999175428,78326,32.29272314986601,3,160048,80.00319916821627,40004,19.996800831783734,0,11077,397
2020-12-25,6,430497,167434,2.5711444509478363,235066,167200,1.4058971291866031,195431,156273,1.2505743154607645,316079,73.42188215016597,114402,26.574401215339478,16,160048,68.08640977427615,75002,31.906783626726106,16,156031,79.83943181992622,39400,20.160568180073785,0,10927,234
2020-12-26,4,573774,222842,2.574801877563476,313483,222569,1.4084755738669803,260291,208663,1.247422878037793,421516,73.46376796439016,152252,26.53518632771788,6,213328,68.05089909181679,100152,31.948143918490004,3,208188,79.98278849441587,52100,20.016058949406627,3,13906,273
2020-12-27,0,238387,92117,2.5878719454606642,132761,91965,1.4436035448268365,105626,85111,1.2410381736790779,171892,72.10628096330757,66494,27.893299550730532,1,87021,65.54711097385528,45740,34.45288902614473,0,84871,80.35048188892887,20754,19.648571374472198,1,6854,152
2020-12-28,7,397797,155570,2.5570289901651995,218993,155377,1.4094299671122497,178804,145547,1.228496636825218,294091,73.92991902905251,103705,26.06982958644736,1,148815,67.95422684743347,70177,32.04531651696629,1,145276,81.24874163888951,33528,18.75125836111049,0,9830,193
2020-12-29,2,383198,150327,2.5490963033919387,209899,149162,1.4071881578418095,173299,139493,1.2423490784483808,281820,73.54422517862828,101375,26.454991936283587,3,142638,67.95554052187005,67260,32.04398305851862,1,139182,80.31321588699299,34115,19.685630038257575,2,9669,1165
2020-12-30,3,519439,203053,2.558144917829335,284170,202837,1.4009771392793229,235269,190124,1.2374502955965578,384587,74.0389150602862,134847,25.960122362779842,5,194669,68.50441637048246,89498,31.494527923426123,3,189918,80.72376726215523,45349,19.275382647097565,2,12713,216
2020-12-31,1,398803,156239,2.552518897330372,219148,156064,1.4042187820381382,179655,146096,1.2297051253969993,295781,74.1671953320311,103020,25.83230316722793,2,149821,68.36521437567306,69327,31.63478562432693,0,145960,81.2446077203529,33693,18.754279034816737,2,9968,175
2021-01-01,8,275594,108257,2.545738381813647,152308,108103,1.408915571260742,123286,100592,1.225604421822809,203359,73.78934229337358,72231,26.20920629621835,4,103092,67.68652992620217,49213,32.31150038080731,3,100267,81.32878023457651,23018,18.670408643317163,1,7511,154
2021-01-02,5,527539,208648,2.528368352440474,289687,208388,1.390132829145632,237852,195173,1.218672664764081,395264,74.92602442663006,132273,25.073596454480143,2,200058,69.06005447258593,89628,30.93960032724976,1,195206,82.07036308292552,42645,17.929216487563696,1,13215,260
2021-01-03,9,263095,101639,2.588524090162241,145905,101510,1.4373460742783961,117190,94258,1.2432896942434597,190415,72.37499762443223,72679,27.62462228472605,1,96446,66.10191563003326,49458,33.89739899249512,1,93969,80.18516938305316,23221,19.81483061694684,0,7252,129
2021-01-04,5,445695,175416,2.5407887535914626,244969,174745,1.4018655755529486,200726,163513,1.2275843510913504,330784,74.21757031153592,114907,25.781532213733605,4,167466,68.36211928856304,77501,31.637064281602978,2,163318,81.36364995067903,37406,18.635353666191726,2,11232,671
2021-01-05,6,489155,191173,2.5587033733843167,268407,190968,1.405507729043609,220748,178506,1.2366419055942095,361492,73.90131962261452,127661,26.09827150903088,2,183146,68.23443501846077,85261,31.76556498153923,0,178346,80.79167195172776,42400,19.20742203779876,2,12462,205
2021-01-06,7,538379,211411,2.5465988051709703,294508,211184,1.3945564057883173,243871,198482,1.2286806864098507,401515,74.57850324771212,136859,25.42056803850076,5,203182,68.99031605253508,91324,31.00900484876472,2,198333,81.3270130519824,45535,18.67175678945016,3,12702,227
2021-01-07,8,473242,184360,2.5669451073985683,259450,184138,1.4089975996263673,213792,172449,1.239740445001131,348569,73.65555043719705,124664,26.34254778738996,9,176443,68.00655232222007,83002,31.991520524185766,5,172126,80.51096392755575,41662,19.487165095045647,4,11689,222
2021-01-08,9,407831,159224,2.561366376928101,223753,159048,1.4068268698757609,184078,148740,1.237582358477881,300977,73.79944143530041,106852,26.200068165490126,2,152365,68.09517637752343,71386,31.90392977971245,2,148612,80.73316746161953,35466,19.266832538380466,0,10308,176
2021-01-09,10,740938,291833,2.5389109524968045,403919,291549,1.385424062507503,337019,274177,1.2292023036213833,555343,74.9513454567049,185592,25.048249651117906,3,280990,69.56592782216237,122927,30.433577029057805,2,274353,81.40579611238536,62665,18.593907168438577,1,17372,284
2021-01-10,11,268448,104224,2.575683143997544,148741,104085,1.4290339626266992,119707,96687,1.2380878504866215,195429,72.79957384670402,73014,27.198563595184172,5,99017,66.57007818960474,49723,33.42924950081013,1,96412,80.53998513035997,23291,19.45667337749672,4,7398,139
2021-01-11,12,442908,173228,2.5567922044935,243560,173038,1.407552098383014,199348,162207,1.2289728556720734,327974,74.05014133860756,114921,25.94692351458993,13,165976,68.14583675480374,77574,31.85005748070291,10,161998,81.26392038044024,37347,18.73457471356623,3,10831,190
2021-01-12,13,477560,187760,2.5434597358329785,261506,187404,1.3954131181831764,216054,175795,1.2290110640234364,355350,74.40949828293826,122202,25.588826534885673,8,179807,68.7582694087325,81695,31.24020098965225,4,175543,81.24959500865525,40507,18.74855360234016,4,11609,356
2021-01-13,14,549562,212970,2.580466732403625,298453,212754,1.402807937806105,251109,199679,1.2575633892397298,403350,73.39481259621299,146209,26.604641514515194,3,204171,68.40976636187273,94281,31.589898576995374,1,199179,79.31973764381205,51928,20.679465889315,2,13075,216
2021-01-14,15,344567,134117,2.569152307313763,188965,133999,1.4101970910230672,155602,125230,1.2425297452687056,253281,73.50703926957601,91283,26.492090072467764,3,128219,67.85330616780885,60745,32.146164633662316,1,125062,80.3730029177003,30538,19.62571175177697,2,8769,118
2021-01-15,16,380018,148525,2.558613028109746,209168,148385,1.409630353472386,170850,138930,1.229755992226301,280982,73.9391291991432,99031,26.05955507370704,5,142258,68.01135929013998,66906,31.986728371452607,4,138724,81.19637108574774,32125,18.803043605501895,1,9455,140
2021-01-16,17,596956,234724,2.543225234743784,325182,234535,1.3864966849297546,271774,220770,1.2310277664537754,447270,74.92512010935481,149681,25.0740423079758,5,226603,69.6849764132086,98577,30.31440854659852,2,220667,81.19503705284538,51104,18.803859088801726,3,13765,189
2021-01-17,18,253493,98879,2.563668726423204,140624,98749,1.4240549271385026,112869,91617,1.231965683224729,185055,73.00201583475679,68427,26.993644794925302,11,93696,66.62874047104334,46928,33.37125952895665,0,91359,80.94250857188422,21499,19.047745616599773,11,7132,130
2021-01-18,19,399624,157792,2.5325998783208274,220044,157652,1.3957577449065028,179580,147440,1.2179869777536625,298251,74.6329049306348,101370,25.366344363701877,3,150993,68.6194579265965,69050,31.38008761883987,1,147258,82.00133645172069,32320,17.997549838512082,2,10212,140
2021-01-19,20,404412,158541,2.5508354305826253,222035,158390,1.401824610139529,182377,148374,1.2291708789949722,300513,74.3086258567995,103898,25.69112687061709,1,152274,68.58107955952889,69760,31.41847006102641,1,148239,81.28163090740608,34138,18.718369092593914,0,10016,151
2021-01-20,21,503478,197865,2.5445531043893563,276454,197690,1.3984217714603673,227024,185227,1.2256528475870148,374399,74.36253421202117,129070,25.63567822228578,9,189442,68.52568600924565,87007,31.472505371598892,5,184957,81.47024103178518,42063,18.527997039960532,4,12463,175
2021-01-21,6,460278,180233,2.553794255214084,251657,180032,1.3978459384998223,208621,168929,1.2349626174309918,341299,74.1506220153907,118973,25.848074424586876,6,172658,68.60846310652992,78994,31.38955006218782,5,168641,80.8360615661894,39979,19.163459095680683,1,11103,201
2021-01-22,22,361513,141111,2.561905166854462,198147,140982,1.4054772949738263,163366,132037,1.2372744003574756,266741,73.78462185315605,94768,26.21427168594213,4,134941,68.10146002715156,63205,31.898035297026954,1,131800,80.67774200261988,31563,19.320421629959718,3,8945,129
2021-01-23,23,627022,244954,2.5597540762755457,340553,244738,1.3915002982781586,286469,230111,1.2449165837356757,465254,74.2005862633209,161762,25.79845683245564,6,235491,69.14958905074981,105061,30.850117309200037,1,229763,80.2051879959088,56701,19.7930666145377,5,14627,216
2021-01-24,24,244378,94799,2.5778541967742274,135485,94673,1.4310838359405533,108893,87998,1.2374485783767812,177851,72.77700938709704,66526,27.22258141076529,1,90152,66.54020740303355,45332,33.4590545078791,1,87699,80.53685728191894,21194,19.46314271808105,0,6675,126
2021-01-25,5,389868,153164,2.5454284296570995,214518,153034,1.4017669276108575,175350,143214,1.2243914701076708,289488,74.25282403274954,100376,25.74614997896724,4,146471,68.27911876858819,68046,31.72041507006405,1,143017,81.56087824351296,32330,18.43741089250071,3,9820,130
2021-01-26,6,275005,107013,2.5698279648267035,152460,106902,1.4261660212156928,122545,99160,1.235830980233965,200696,72.97903674478646,74307,27.02023599570917,2,101734,66.72832218286764,50724,33.270365997638734,2,98962,80.75564078501775,23583,19.24435921498225,0,7742,111
