Date,Unnamed: 0,QR_trans,QR_POI_macro_422_per,QR_POI_micro_422_per,QR_POI_redline_422_per,QR_POI_blur_422_per,QR_POI_spoof_422_per,QR_POA_macro_422_per,QR_POA_blur_422_per,QR_POA_spoof_422_per
2020-12-01,0,575913,0.8934833360554152,10.087715084496624,8.348144661036763,3.6504718808945085,4.396642552223942,1.3809870586985875,4.048518501661281,3.671885667470757
2020-12-02,0,642528,0.8663131710623826,9.911185665619202,8.385658725462598,3.689873672237191,4.592378971798864,1.5303037508577175,4.1666383591611025,3.689034125264109
2020-12-03,1,605285,0.9097854440416512,10.165003241624284,8.48088050429325,3.6951473036686666,4.408000267852524,1.4818642365201304,4.172418029528882,3.517666018659709
2020-12-04,1,572907,0.8926194974065347,9.831473438889644,8.062463889483968,3.8054803591251676,4.5069169896326295,1.54819220239781,4.332672519588408,3.6201264986311714
2020-12-05,2,729645,0.8757370660274326,9.77424937727898,8.011625814985344,3.4798892152068093,4.743829170457051,1.5486289797794666,3.9990328531429284,3.9038106780177073
2020-12-06,3,378690,0.9817828515909643,11.24993927617197,9.075054651445226,4.084041777993685,4.218119990284188,1.6547095579726916,4.980328627632494,3.665239527887063
2020-12-07,4,579346,0.9356020007145408,10.040256724340326,8.513244526106263,3.654047363854438,4.341473995814832,1.5053148673351942,4.195472771178599,3.4326595400552176
2020-12-08,0,488572,0.8647418899537004,10.059615070020127,8.371599334989519,3.8584303774352966,4.674475847717165,1.6595855909338602,4.346997815868403,3.8632104519335986
2020-12-09,1,419295,0.7461688045242895,8.8795425757765,7.374270779440887,3.0047455087149664,4.772269102456604,1.438874735369048,3.407780278138023,3.7179046867230867
2020-12-10,2,566483,0.7683506598544178,9.775511411832008,8.16352027564621,3.529086856173436,4.670270057009843,1.4638330315448391,4.071666825502716,3.8661965119603545
2020-12-11,3,539160,0.8413200020722168,9.97219775855221,8.4760572622563,3.6225802552280304,4.4697715381028855,1.5980610139615008,4.255353243995754,3.7962462191775335
2020-12-12,4,731036,0.848006782105376,9.068386229207876,7.34825526441441,3.6005573799245782,4.3472223575611695,1.6737171807926523,4.049054108016373,3.4441449535789164
2020-12-13,2,390111,0.8725572199832712,10.600904874154056,8.698483005094669,3.80626948521025,4.507261805185919,1.6272016472355937,4.399120732352041,3.5849634102228776
2020-12-17,3,573777,0.8023548710234807,9.600702830448636,7.963250525988193,3.342659020251761,4.835201172248572,1.5144547887377031,3.6892691568353997,3.6625080094983233
2020-12-18,4,634498,0.7843898764865453,9.587739274218698,7.7756397808651245,3.366168258395561,5.001735896575871,1.6092133489016212,3.9780595758546715,4.0608792462052286
2020-12-19,5,560541,0.7288074424572941,8.912102012992221,7.259670649878365,2.817654449701928,4.987702836367525,1.4409552787186406,3.109248521729146,4.356162810723922
2020-12-25,6,618446,0.7861416866422329,9.333470193637202,7.607520876227969,3.29762889523545,5.4266116810269365,1.6747444360881312,3.7565109606974736,4.553842511350659
2020-12-26,4,847062,0.7587229965695212,9.259422778908515,7.391423361692546,3.2084026861045745,5.045717641137489,1.7053067522026881,3.733911242843802,4.139682894149174
2020-12-27,0,343971,0.8219015764783187,10.956712824573026,8.972515309667306,3.82889797325319,4.395503778269698,1.7062108348494036,4.380811602991712,3.807863351526177
2020-12-28,7,574335,0.8464049737266531,9.508805473180377,7.858917330003643,3.302702773008688,4.830979137401799,1.6608008275893091,4.049490440368967,3.6514379739054488
2020-12-29,2,552516,0.8321971895627759,9.403895735748707,7.742538572643457,3.3682725665150315,5.118046462655742,1.6503247564326755,3.779587184611541,3.89707719210592
2020-12-30,3,766929,0.7183992334467519,8.936358480973054,7.230679729359772,3.155432359497829,4.844978294027924,1.6974778173688256,3.776427024383428,4.0891497240271075
2020-12-31,1,582940,0.7653420362193639,9.321686824086516,7.5711908875663925,3.478274780828054,4.9520061432136675,1.6605029585798816,4.166789940828402,3.65310650887574
2021-01-01,8,400678,0.7684726315887347,9.937610993854081,8.1700774516276,3.7498489088897364,4.190105159412743,1.6672414536362457,4.314674311333362,3.4029184808380397
2021-01-02,5,794156,0.7681000928963676,9.098434872590868,7.522724332968802,3.2443174468785645,4.926564833433285,1.6229797452778283,3.825169195909484,3.5538594555916636
2021-01-03,9,381452,0.9212807599473554,11.141329422220497,8.926273256632783,3.8599575540651454,4.40340150260552,1.746010948884319,4.520829654272743,3.6862762969756697
2021-01-04,5,628944,0.7530218785789308,9.396455041211482,7.793390734685885,3.374653604001875,4.6400745307706455,1.5789545806469294,3.9170680570876533,3.549136353981816
2021-01-05,6,698846,0.7357042026135244,9.362683225570589,7.646573785234147,3.4162079078194925,5.1942264431890655,1.5899266591176262,4.053341067500146,3.935168758079993
2021-01-06,7,793349,0.7680781528369338,9.029342709156763,7.335087367415081,3.2650990478662525,4.7436789881661685,1.6619584158630167,3.892424586810404,3.662423829160849
2021-01-07,8,669927,0.7362924427568172,9.332876112732755,7.653984370861665,3.3053703905054235,5.039741949153724,1.629621061695551,3.9368586098098564,3.999511627757536
2021-01-08,9,580642,0.8013129327732172,9.657828136843053,7.94343597846893,3.500725838568364,4.796957901363036,1.7034440243911495,4.086111750681452,3.825785990686205
2021-01-09,10,1110861,0.6958943415333979,8.817418456474957,6.89733744039833,3.2624161357019283,4.843748681378961,1.7062574992380195,3.8471332173322574,3.7446998954447075
2021-01-10,11,383592,0.8833098625746613,10.491429126402176,8.619919390084009,3.668236779488176,4.6010780362259025,1.827627742567347,4.526010064054216,4.128626267856942
2021-01-11,12,629222,0.7642960735290192,9.32399687993997,7.90869968829058,3.401814498788456,4.924178389135546,1.7127262890816266,4.066440905464494,3.764436789716794
2021-01-12,13,689087,0.7996202617481522,9.173662439818267,7.6048009764697895,3.2345561809181533,4.976198548857393,1.6588017926919092,3.7982347727301096,3.8956094028937738
2021-01-13,14,793618,0.7499946884228865,9.184307004435757,7.368691912002512,3.2126779083245403,5.1083207626008305,1.6626352985689767,3.7668743159061115,4.5254922097752805
2021-01-14,15,510721,0.7942472710291285,9.861873212305177,8.086217967427471,3.34408382464538,4.8946354561905325,1.851030110935024,3.868145800316957,4.031273111463285
2021-01-15,16,552676,0.7954745137264974,9.500074343412498,7.757059244941268,3.3947905543315176,4.974588069909842,1.7542219729544464,3.9882844145323113,4.055664610207516
2021-01-16,17,892991,0.7797348358188992,9.254831806326491,7.4096753159901025,3.2600063532401524,5.117702133351167,1.6656413225732518,3.676280775401392,4.000530766354238
2021-01-17,18,367833,0.8438627249460936,10.721338895270339,8.863329504463655,3.7704290349233216,4.524615601636338,1.814681618745608,4.28484537117414,3.6287727130464567
2021-01-18,19,573492,0.7911752282548656,9.514572570425967,8.098905026480812,3.2608766286512654,4.672645157097834,1.620866921067883,3.8280609057586497,3.4893610615605786
2021-01-19,20,576631,0.7549770885649933,9.50339141015352,7.8154529215315724,3.266173919797033,4.837937194190592,1.6987089662388133,3.7524055079124863,3.8024774396054033
2021-01-20,21,749142,0.6973747946327359,9.438654488616788,7.96874921972924,3.362280338175589,4.383249022476791,1.7069183111519046,3.8455139972464436,3.777822395594309
2021-01-21,6,626823,0.7578979931170489,9.525183451172392,7.776485530632702,3.3558105017058653,5.188388812378603,1.6760141761001959,4.090424250765579,3.783160719815573
2021-01-22,22,537427,0.8179703503107315,9.49484428705343,7.858903586431968,3.307641565114745,4.815470610700276,1.6812551875122796,3.918651788112928,3.6263467483570375
2021-01-23,23,912215,0.7247432517005407,8.790282038391695,6.904759461982784,3.0497901897013415,5.427571843355323,1.7956080683503188,3.541789253183327,4.079365452962082
2021-01-24,24,365463,0.8041656083312166,10.589281178562358,8.997205994411988,3.683007366014732,4.5537211074422155,1.8260750950401212,4.4379733472508045,3.633171819491973
2021-01-25,5,577353,0.7546632953630564,9.430704514076377,7.889367783572655,3.3290545368714777,4.479802895139309,1.5876094838777064,3.8224234918455964,3.3856070666527405
2021-01-26,6,413647,0.8631783797357104,10.669333177886491,8.821010434369297,3.6307300471272974,4.4643137395577845,1.7294921157820746,4.43257760945057,3.604813412088085
